Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Y1,Y21,Y22,Y23,Var38,Var39,Var40,Y31,Y32,Y33,Y41,Y42,Y43,Y51,Y52,Y53,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20207002,20/02/07 금요일,33500,115,26,115,60,36,1200,107,19.5,9.5,3,3,17,8.2,-0.5,15.99,63,64,0,0,1,21,23,50,59,61,38,37,41,0.019,164.4,166.8,158,36.68,37.3,37.15,0,-1.07,-0.95,257.9,246.5,260.7,319.4,280.7,326.7,7.3,P2E05,P2E05,92,92,80.89,81.02,13.54,J,PG,AP,3600,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20207003,20/02/07 금요일,33500,115,26,115,55,36,1200,107,19.7,9.5,3,3,17.5,8.3,-1.1,15.178,63,64,0,0,3,26,25,42,52,52,33,30,33,0.0188,163.2,169.8,143.2,37.46,37.88,36.83,0,-0.77,-1.03,811.4,748.2,735,1783.7,1443,1474.7,5.5,P2E10,P2E10,92.02,90,81.95,79.94,4.73,I,AL,AL,2640,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20208001,20/02/08 토요일,33500,115,26,115,55,36,1200,107,19.6,9.7,3,3,16.1,9,-0.1,14.991,63,62,0,0,1,20,24,46,55,55,34,32,35,0.0189,159,188.4,152.5,37.68,38.87,37.07,0,-0.79,-1.08,474.1,446.7,672.5,519.8,490.8,567.2,5.2,P2E02,P2E02,91.92,92.01,79.87,82.7,11.95,I,AL,AL,2580,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20208002,20/02/08 토요일,36000,106,28,106,70,36,1200,107,19.5,9.5,3,3,16.8,8.4,0.9,15.204,64,63,0,0,1,18,21,52,59,62,40,40,46,0.019,190.4,179.5,175.6,36.61,36.69,36.83,0,-0.77,-0.71,253.1,368.1,329.6,428.1,383.1,389.7,6,P2E05,P2E05,92.01,92.02,81.03,81.46,14.56,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20209001,20/02/09 일요일,36000,106,28,106,70,36,1200,107,19.9,9.5,3,3,16.6,9.9,1.2,15.781,61,61,0,0,1,18,22,51,57,60,37,38,44,0.0195,191.4,166.1,186.2,37.23,37.04,36.72,0,-0.78,-0.7,310.6,324.5,338.5,339.9,335.5,334,6.2,P2E10,P2E10,91.85,88.79,80.05,77.85,4.78,J,PG,AP,3600,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20209002,20/02/09 일요일,29800,126.5,26,126.5,135,36,1200,107.5,19.2,9.6,3,3,17.3,13.1,2.4,0.087,56,53,0,0,0,0,0,0,0,0,0,0,0,0.0187,114.1,119.5,107.4,36.55,35.78,36.05,0,-0.78,-0.96,601,625.2,602.5,290.8,365.9,260.9,7.9,P2E04,P2E04,87,87,76.71,78.13,8.46,I,AL,AL,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20209003,20/02/09 일요일,36000,106,28,106,135,36,1200,107.5,18,9.5,3,3,18.2,8.5,0.3,9.97,57,53,0,0,0,11,16,46,51,55,34,35,48,0.019,118.6,121.6,114.8,35.99,36.89,37.07,0,-0.62,-0.62,0,0,0,529,453.4,384.4,5.9,P2E03,P2E03,87.4,87.42,77.84,80.3,14.59,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20210001,20/02/10 월요일,29800,126.5,26,126.5,135,36,1200,107.5,19,9,3,3,17.6,9,-0.1,9.462,55,50,0,0,2,29,24,40,45,48,31,28,38,0.0188,112.5,116.9,107,37.89,36.72,37.29,0,-1.16,-1.16,336.9,376.4,405.4,524.7,542.7,532.2,8.1,P2E05,P2E05,87,87,77.64,78.79,10.74,I,AL,AL,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20210002,20/02/10 월요일,29800,126.5,26,126.5,75,36,1200,107,19.8,9.6,3,3,17,9.3,1.1,14.813,62,59,0,0,1,19,21,48,54,57,36,36,40,0.0188,173.7,161.5,171.5,37.01,37.23,36.68,0,-0.83,-0.76,400.4,425.9,421.7,383.2,301.6,289.2,7.5,P2E06,P2E06,92.02,92.03,81,81.45,16.39,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20210003,20/02/10 월요일,31000,136,22,136,90,36,1200,107,19.5,9.5,3,3,17.6,9.4,-1,12.973,60,60,0,0,3,27,28,49,58,60,37,38,45,0.019,149.2,173.5,146.3,36.11,37.9,37.33,0,-0.95,-0.78,274.3,356,325.9,479.1,485.8,343.5,7.8,P2E09,P2E09,92.02,92.02,81.22,81.59,17.46,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20211001,20/02/11 화요일,32400,126.5,27,126.5,110,36,1200,107,19.5,9.5,3,3,16.9,9.7,-1,10.964,57,57,0,0,0,9,13,40,45,48,30,30,36,0.0188,129.4,122.6,143.9,36.83,37.22,37.76,0,-0.93,-0.7,307.4,324.9,334,535,570.2,537.7,8.1,P2E03,P2E03,90.03,90.03,79.97,83,18.35,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20211002,20/02/11 화요일,32400,126.5,27,126.5,80,36,1200,107,19.9,9.5,3,3,17.4,9.4,0.2,15.004,61,57,0,0,1,17,21,47,53,55,36,35,40,0.0185,168.3,142.6,173.3,35.06,36.24,36.25,0,-0.73,-0.83,916.8,925.2,807.7,574.4,598.3,603,6.9,P2E11,P2E11,99.93,99.99,85.57,88.44,,I,AL,AL,2710,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20211003,20/02/11 화요일,31000,136,22,136,80,36,1200,107,19.6,9.5,3,3,17.5,10.5,1.9,15.035,60,57,0,0,1,22,24,47,54,56,35,35,40,0.0187,166.1,166,174.6,35.38,36.79,36.54,0,-0.9,-0.76,321.1,269.2,318.7,509.1,545.5,519.9,6,P2E06,P2E06,95.85,95.97,86.02,87.04,7.25,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20212001,20/02/12 수요일,25800,131,24,131,30,36,1200,107,19.8,9.8,3,3,15.7833,9.75,0.65,11.057,64.217,62.228,0,0,0,0,-1,0,0,0,0,0,0,0.0186,160.2,152.8,162.3,38.9,38.79,38.62,0,-0.76,-0.85,327,354.4,320.6,391.9,420.6,398.3,6.2,P2E10,P2E10,87.43,83.57,64.73,70,,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20212002,20/02/12 수요일,28000,129,23,129,60,36,1200,107,19.5,9.5,3,3,17.5,8.9,-0.3,15.048,61,58,0,0,3,20,21,55,62,67,41,42,46,0.019,170.1,159,175.2,39.16,39.06,38.27,0,-0.91,-1.16,611,497.7,506.6,956.4,1009.1,920.2,7.4,P2E06,P2E06,92.02,92.02,81.88,82.75,,I,AL,AL,2710,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20213001,20/02/13 목요일,28000,129,23,129,140,36,1200,107.5,19.5,9.5,3,3,17.7,10,0.35,10.349,56.081,52.85,0,0,0,0,0,0,0,0,0,0,0,0.0197,126,144.8,138.9,37.45,36.37,37.05,0,-0.78,-0.87,367.9,389.1,456.9,462.8,591.5,564.5,9.7,P2E06,P2E06,92.02,92.02,81.96,82.76,12.83,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20213002,20/02/13 목요일,28000,129,23,129,90,36,1200,107,20,9.7,3,3,17.4167,9.3,1.75,13.227,60.385,59.049,0,0,0,6,10,38,47,51,32,33,35,0.019,183.6,158.6,172,36.41,36.57,35.38,0,-0.84,-1.02,732.7,647.2,701.7,935.7,882.8,968.6,6.9,P2E07,P2E07,99.74,99.88,88.64,89.91,0,I,AL,AL,2640,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20213003,20/02/13 목요일,34000,92.5,33,92.5,90,36,1200,107,19.8,9.5,3,3,17.1,9.9,-0.6,13.229,60,57,0,0,0,11,14,45,51,54,34,34,39,0.0191,175.8,180.5,175.3,35.91,37.21,37.06,0,-1.04,-1.15,1041.6,1104.6,1151,624.7,737.1,1006,8.8,P2E09,P2E09,99.63,99.9,88.63,87.47,13.13,I,AL,AL,2590,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20213004,20/02/13 목요일,26900,137,23,137,90,36,1200,107,19.5,9.5,3,3,17.1,9.9667,1.3,13.322,60.169,58.049,0,0,0,17,21,48,53,56,35,36,41,0.0189,134.1,159.7,137.2,35.94,36.13,35.73,0,-0.95,-1.14,691.3,638.9,669.1,868,563.2,920.6,7.3,P2E01,P2E01,99.44,99.87,88.24,88.8,11.08,I,AL,AL,2560,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20213005,20/02/13 목요일,26900,137,23,137,90,36,1200,107,19.5,9.5,3,3,17.2,10.4,-0.1,13.29,60,57,0,0,0,18,21,48,53,56,35,36,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20214001,20/02/14 금요일,27200,128,24,128,90,36,1200,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20214002,20/02/14 금요일,26900,137,23,137,90,36,1200,107,19.7,9.7,3,3,16.8,8.9,-0.6,12.925,60,57,0,0,0,17,21,48,54,56,35,35,42,0.019,149.7,162.7,147.6,36.63,37.11,36.18,0,-1.01,-0.78,309.8,323,322.3,465,507.1,465.8,7.8,P2E04,P2E04,99.86,99.89,86.92,91.06,12.1,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20214003,20/02/14 금요일,27200,128,24,128,50,36,1200,107,19.5,9.7,3,3,16.3,9.4,0.1,14.857,65,64,0,0,2,20,21,44,52,50,31,29,31,0.0189,155.7,204.9,159.7,35.76,36.79,36.87,0,-0.57,-0.61,958.5,946.7,996.6,973.4,1219.8,1131.9,3.8,P2E07,P2E07,99.51,99.85,86.09,87.5,0,I,AL,AL,2710,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20214004,20/02/14 금요일,27200,128,24,128,50,36,1200,107,19.5,9.8,3,3,16.4,9.2,0.8,14.891,65,63,0,0,3,23,24,46,56,55,32,31,33,0.0191,139.4,136.7,159.6,38.02,36.18,37.63,0,-0.88,-0.91,303.1,231.3,270.5,345.3,377.6,414.3,6.3,P2E09,P2E09,99.52,99.9,86.74,87.51,13.69,J,PG,AP,2650,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20214005,20/02/14 금요일,27200,128,24,128,50,36,1200,107,19.5,9.8,3,3,16.9,9.1,0.1,16.966,65,63,0,0,0,12,14,44,53,57,34,33,35,0.019,148.8,165.4,173.6,35.24,36.96,37.73,0,-0.85,-0.91,283.6,287.4,314.3,467.8,308.9,353.9,6.2,P2E11,P2E11,99.78,99.92,83.8,84.87,17.21,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20215001,20/02/15 토요일,27200,128,24,128,70,36,1200,107,19.5,9.8,3,3,17.2,9.1,0.8,15.516,63,61,0,0,0,11,13,43,55,59,37,39,43,0.0191,167.1,175.7,162.8,36.37,36.78,35.62,0,-0.88,-0.9,222,267.3,305.6,194.9,154.9,215.4,6.9,P2E02,P2E02,99.36,99.53,84.38,89.85,13.39,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20215002,20/02/15 토요일,27200,128,24,128,70,36,1200,107,19.7,9.7,3,3,17.6,10.1,-1,15.512,64,61,0,0,1,16,19,49,57,60,37,38,42,0.019,154.4,173.5,152.8,36.95,37.04,36.37,0,-0.58,-0.75,279.9,262.8,209.9,656.3,750.3,627.8,6.5,P2E04,P2E04,99.78,99.75,87.07,89.8,13.24,J,PG,AP,3600,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20215003,20/02/15 토요일,27200,128,24,128,90,36,1200,107,19.8,9.8,3,3,17,10.4,0.6,12.543,61,59,0,0,0,11,14,44,51,55,34,37,40,0.019,161.9,149.5,143.7,36.55,37.4,37.06,0,-0.59,-0.74,242.6,240.9,276.4,443.7,341,534.4,6.8,P2E06,P2E06,99.42,99.83,87.5,87.86,13.62,J,PG,AP,3600,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20215004,20/02/15 토요일,31800,123.5,27,123.5,90,36,1200,107,19.8,9.8,3,3,17.7,9.8,2,12.852,60,58,0,0,0,12,16,45,51,55,33,36,41,0.0191,189.5,178.5,177.4,35.43,35.71,36.44,0,-0.59,-0.63,212.1,173.9,180,270.5,219.2,335.1,5.2,P2E07,P2E07,99.74,99.87,86.64,90.9,0,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20215005,20/02/15 토요일,39800,120.5,26,120.5,220,36,1200,110,20,10,3,3,17.1,9.8,-0.3,5.694,53,51,0,0,0,9,9,25,28,32,20,21,26,0.0191,110.8,110.9,106.8,36.9,35.7,37.07,0,-0.43,-0.45,230.4,246.8,221.5,346.1,258.8,210.2,7.9,P2E10,P2E10,92,92,82.7,84.74,4.13,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20216001,20/02/16 일요일,39800,120.5,26,120.5,210,36,1200,110,20,10,3,3,17,10,0.5,6.202,53,51,0,0,0,4,6,21,26,32,21,20,24,0.019,110.9,106.9,105.9,36.03,36.79,36.88,0,-0.55,-0.59,209.5,226,210.8,349,355.4,427.7,8.5,P2E01,P2E01,91.97,92,82.01,83.03,9.92,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20216002,20/02/16 일요일,39800,120.5,26,120.5,200,36,1200,110,20,10,3,3,17.9,9.8,1.5,6.51,54,51,0,0,0,3,6,19,25,32,20,20,22,0.019,131.7,125.5,122.6,37.17,36.36,37.44,0,-0.5,-0.49,192.7,213.9,202.1,337.6,372.4,350.2,9.1,P2E02,P2E02,91.97,92.02,80.18,84.26,10.8,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20216003,20/02/16 일요일,31500,91,24,91,200,36,1200,110,20.2,10,3,3,18.2,9.9,-1,6.406,54,52,0,0,0,5,8,22,27,31,20,19,22,0.019,135.7,124.5,133.6,36.31,37.75,37.51,0,-0.58,-0.55,321.6,312.2,281.6,402.8,458.1,421.5,9.4,P2E03,P2E03,91.99,92,82.1,85,10.57,J,PG,AP,3600,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20216004,20/02/16 일요일,31500,91,24,91,100,36,1200,107,20,9.8,3,3,18.3,8.5,0.2,11.493,63,60,0,0,1,17,17,42,49,50,32,31,35,0.0191,142.8,149.7,159.7,35.57,36.96,37.12,0,-0.58,-0.49,427.2,412.7,523.4,604.1,577.6,655.9,8.6,P2E08,P2E08,95.94,96.03,84.44,84.48,12.25,J,PG,AP,3600,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20217001,20/02/17 월요일,39800,120.5,26,120.5,100,36,1200,107,20,10,3,3,17.1,9.2,-1,11.189,62,58,0,0,0,7,10,34,41,48,31,31,34,0.0191,154.9,163.2,167.6,35.5,37.66,36.01,0,-0.57,-0.66,324.1,342,333.6,628.2,736,543.3,7.2,P2E09,P2E09,95.91,95.98,83.32,85.99,15.73,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20217002,20/02/17 월요일,38700,125,23,125,65,36,1200,107,19.8,9.8,3,3,16.9,9,0.7,14.978,65,62,0,0,0,6,10,32,43,48,30,27,29,0.0189,150.3,155.1,145.4,36.6,36.79,36.94,0,-1.05,-1.15,826.4,833.4,1045.6,574.8,620.3,600.9,8.4,P2E03,P2E03,99.47,99.89,86.81,87.92,11.17,I,AL,AL,2800,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20217003,20/02/17 월요일,38700,125,23,125,100,36,1200,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20218001,20/02/18 화요일,38700,125,23,125,60,36,1200,107,19.5,9.7,3,3,17.6,9,0,14.835,65,63,0,0,3,23,24,43,52,50,31,29,29,0.0189,157.9,158.8,179.6,38.28,37.79,36.25,0,-0.96,-1.01,270,311.8,338.5,583.4,611.6,593,7.4,P2E09,P2E09,99.43,99.92,84.4,85.42,17.05,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20218002,20/02/18 화요일,38700,125,23,125,180,36,1200,108,20,10,3,3,16.7333,8.5,0.15,6.061,54.251,48.939,0,0,0,0,1,0,0,1,0,0,0,0.0195,108.7,106.9,111.7,36.73,37.11,36.21,0,-0.91,-0.84,227.4,227.4,231.3,506.8,464.8,461.6,10.4,P2E11,P2E11,91.99,92,82.14,82.96,7.04,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20218003,20/02/18 화요일,38700,125,23,125,60,36,1200,107,20,10,3,3,17.3,8.7,1.1,14.996,67,64,0,0,0,8,10,35,46,49,33,30,30,0.019,151.8,138.5,156.3,38.16,38.1,36.68,0,-0.84,-1.2,769.9,637.3,549.2,750.5,755.4,676.1,10,P2E01,P2E01,99.25,99.75,85.95,87.09,10.4,I,AL,AL,2710,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20219001,20/02/19 수요일,38700,125,23,125,60,36,1200,107,19.8,9.8,3,3,16.9,9.8,1.2,14.792,64,62,0,0,0,10,13,40,47,48,30,29,28,0.019,148.8,147.2,162.7,35.36,35.94,36.68,0,-0.92,-1.13,889.8,772.1,631.8,765.5,720.1,689.9,7.2,P2E07,P2E07,99.49,99.79,86.75,88.43,0,I,AL,AL,2640,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20219002,20/02/19 수요일,38700,125,23,125,60,36,1200,107,19.5,9.6,3,3,16.9,9.1,-0.1,14.809,62,60,0,0,0,13,17,42,47,47,28,26,25,0.0189,160,167,180.1,35.53,35.75,34.68,0,-0.7,-0.75,745,737.6,716,670.1,677.7,700.8,5.3,P2E02,P2E02,99.25,99.51,86.17,88.11,10.46,I,AL,AL,2580,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20219003,20/02/19 수요일,38700,125,23,125,60,36,1200,107,19.7,9.8,3,3,16.8,10.1,-0.1,15.543,61,59,0,0,0,5,10,34,44,45,28,26,25,0.0187,164.1,145.7,153.7,35.47,37.27,36.96,0,-0.62,-0.55,355.2,353.6,327.8,358.6,365.8,324.6,4.2,P2E04,P2E04,99.67,99.81,85.39,88.96,10.55,J,PG,AP,3600,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20219004,20/02/19 수요일,38700,125,23,125,200,36,1200,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0198,118.9,145.7,131,35.56,36.45,36.21,0,-0.44,-0.41,295,286.1,405.3,406.7,381.9,306,7.6,,,,,,,,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20219005,20/02/19 수요일,38700,125,23,125,80,36,1200,107,20,9.8,3,3,17.3,10,-0.2,13.008,62,60,0,0,1,17,20,45,51,50,32,32,32,0.0189,180.4,181.8,186.2,36.4,36.27,35.86,0,-0.68,-0.8,910.7,879.3,942.5,605.6,551.2,586.5,5.5,P2E07,P2E07,99.67,99.9,87.72,89.53,0,I,AL,AL,2710,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20220001,20/02/20 목요일,39200,119,27,119,80,36,1200,107,19.9,9.8,3,3,17.7,9.7,-0.4,13.247,64,61,0,0,1,17,20,45,51,51,31,31,33,0.019,168,193.1,173.2,36.02,35.37,35.97,0,-0.71,-0.91,688.4,855.4,677.3,706.7,732.6,717.2,5.7,P2E08,P2E08,99.57,99.89,87.7,89.11,10.65,I,AL,AL,2640,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20220002,20/02/20 목요일,37300,121,23,121,75,36,1200,107,20.2,10,3,3,17.4,9.3,1.2,14.297,62,60,0,0,0,7,11,36,44,48,30,30,30,0.0195,165.5,182.8,172.8,36.71,35.93,36.41,0,-0.8,-1,1258.8,1276.3,1180.1,1710.9,952.2,1404.9,6.6,P2E10,P2E10,99.3,98.36,87.96,87.29,4.65,I,AL,AL,2750,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20220003,20/02/20 목요일,37300,121,23,121,50,36,1200,107,19.7,10,3,3,18.3833,9.8,-0.15,14.323,63.325,61.982,0,0,0,0,0,0,0,0,0,0,0,0.0191,148.8,161.5,142.6,37.52,36.48,37.69,0,-0.73,-0.83,297.8,310.1,318.7,507.3,530.3,516.7,4.9,P2E05,P2E05,99.59,99.9,86.09,87.05,11.73,J,PG,AP,2650,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20221001,20/02/21 금요일,37300,121,23,121,50,36,1200,107,19.5,9.5,3,3,17.8,9,0.5,15.503,64,61,0,0,0,14,17,37,43,41,25,21,18,0.0187,156.3,156.1,130.5,37.49,37.77,36.86,0,-0.85,-1.03,302.3,329.3,304,518.3,505.3,550.1,8.5,P2E11,P2E11,99.52,99.81,81.88,84.93,16.34,J,PG,AP,4000,,,,,,,,
P2,P2,P21,P21,P2D01,P2D01,P2D20221002,20/02/21 금요일,37300,121,23,121,50,36,1200,107,19.5,9.5,3,3,16.8,9.4,0.9,15.03,63,62,0,0,0,11,14,36,42,39,22,17,15,0.0188,163,159.6,169.8,37.16,37.22,36.15,0,-0.74,-0.74,338.4,397.3,340.2,503,523.7,438.8,5.2,P2E09,P2E09,99.42,99.9,85.16,86.43,16.42,J,PG,AP,3600,,,,,,,,
